NUMBER,DESCRIPTION
PCT032,"FAMILY TYPE BY PRESENCE AND AGE OF OWN CHILDREN [20]"
PCT033,"FAMILY TYPE BY PRESENCE AND AGE OF RELATED CHILDREN [20]"
PCT034,"FAMILY TYPE AND AGE FOR OWN CHILDREN UNDER 18 YEARS [20]"
PCT035,"AGE OF GRANDCHILDREN UNDER 18 YEARS LIVING WITH A GRANDPARENT HOUSEHOLDER [6]"
PCT036,"NONFAMILY HOUSEHOLDS BY SEX OF HOUSEHOLDER BY LIVING ALONE BY AGE OF HOUSEHOLDER [15]"
PCT037,"NONRELATIVES BY HOUSEHOLD TYPE [11]"
PCT038,"GROUP QUARTERS POPULATION BY GROUP QUARTERS TYPE [32]"
PCT039,"GROUP QUARTERS POPULATION BY SEX BY AGE BY GROUP QUARTERS TYPE [195]"
PCT040,"POPULATION SUBSTITUTED [3]"
PCT041,"ALLOCATION OF POPULATION ITEMS [3]"
PCT042,"ALLOCATION OF RACE [3]"
PCT043,"ALLOCATION OF HISPANIC OR LATINO ORIGIN [3]"
PCT044,"ALLOCATION OF SEX [3]"
PCT045,"ALLOCATION OF AGE [3]"
PCT046,"ALLOCATION OF RELATIONSHIP [3]"
PCT047,"ALLOCATION OF POPULATION ITEMS FOR THE POPULATION IN GROUP QUARTERS [3]"
PCO001,"GROUP QUARTERS POPULATION BY SEX BY AGE [39]"
PCO002,"GROUP QUARTERS POPULATION IN INSTITUTIONAL FACILITIES BY SEX BY AGE [39]"
PCO003,"GROUP QUARTERS POPULATION IN CORRECTIONAL FACILITIES FOR ADULTS BY SEX BY AGE [33]"
PCO004,"GROUP QUARTERS POPULATION IN JUVENILE FACILITIES BY SEX BY AGE [15]"
PCO005,"GROUP QUARTERS POPULATION IN NURSING FACILITIES/SKILLED-NURSING FACILITIES BY SEX BY AGE [31]"
PCO006,"GROUP QUARTERS POPULATION IN OTHER INSTITUTIONAL FACILITIES BY SEX BY AGE [39]"
PCO007,"GROUP QUARTERS POPULATION IN  NONINSTITUTIONAL FACILITIES BY SEX BY AGE [39]"
PCO008,"GROUP QUARTERS POPULATION IN COLLEGE/UNIVERSITY STUDENT HOUSING BY SEX BY AGE [25]"
PCO009,"GROUP QUARTERS POPULATION IN MILITARY QUARTERS BY SEX BY AGE [25]"
PCO010,"GROUP QUARTERS POPULATION IN OTHER NONINSTITUTIONAL FACILITIES BY SEX BY AGE [39]"
HCT001,"URBAN AND RURAL [6]"
HCT002,"TENURE [4]"
HCT003,"TOTAL POPULATION IN OCCUPIED HOUSING UNITS [1]"
HCT004,"TOTAL POPULATION IN OCCUPIED HOUSING UNITS BY TENURE [4]"
HCT005,"AVERAGE HOUSEHOLD SIZE OF OCCUPIED HOUSING UNITS BY TENURE [3]  (2 expressed decimals)"
HCT006,"HOUSEHOLD SIZE [8]"
HCT007,"TENURE BY HOUSEHOLD SIZE [17]"
HCT008,"TENURE BY AGE OF HOUSEHOLDER [21]"
HCT009,"TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER [69]"
HCT010,"TENURE BY PRESENCE AND AGE OF OWN CHILDREN [13]"
HCT011,"TENURE BY PRESENCE AND AGE OF RELATED CHILDREN [13]"
HCT012,"TENURE BY PRESENCE AND AGE OF PEOPLE UNDER 18 YEARS BY HOUSEHOLD TYPE  (EXCLUDING HOUSEHOLDERS, SPOUSES, AND UNMARRIED PARTNERS) [13]"
HCT013,"OCCUPIED HOUSING UNITS SUBSTITUTED [3]"
HCT014,"ALLOCATION OF TENURE [3]"
