"SEGMENT","POSITION","FIELD","PARENT_FIELD","TABLE","NAME","DESCRIPTION"
03,44,PCT0030039,PCT0030002,PCT003,"36 years","Total: Male: 36 years"
03,45,PCT0030040,PCT0030002,PCT003,"37 years","Total: Male: 37 years"
03,46,PCT0030041,PCT0030002,PCT003,"38 years","Total: Male: 38 years"
03,47,PCT0030042,PCT0030002,PCT003,"39 years","Total: Male: 39 years"
03,48,PCT0030043,PCT0030002,PCT003,"40 years","Total: Male: 40 years"
03,49,PCT0030044,PCT0030002,PCT003,"41 years","Total: Male: 41 years"
03,50,PCT0030045,PCT0030002,PCT003,"42 years","Total: Male: 42 years"
03,51,PCT0030046,PCT0030002,PCT003,"43 years","Total: Male: 43 years"
03,52,PCT0030047,PCT0030002,PCT003,"44 years","Total: Male: 44 years"
03,53,PCT0030048,PCT0030002,PCT003,"45 years","Total: Male: 45 years"
03,54,PCT0030049,PCT0030002,PCT003,"46 years","Total: Male: 46 years"
03,55,PCT0030050,PCT0030002,PCT003,"47 years","Total: Male: 47 years"
03,56,PCT0030051,PCT0030002,PCT003,"48 years","Total: Male: 48 years"
03,57,PCT0030052,PCT0030002,PCT003,"49 years","Total: Male: 49 years"
03,58,PCT0030053,PCT0030002,PCT003,"50 years","Total: Male: 50 years"
03,59,PCT0030054,PCT0030002,PCT003,"51 years","Total: Male: 51 years"
03,60,PCT0030055,PCT0030002,PCT003,"52 years","Total: Male: 52 years"
03,61,PCT0030056,PCT0030002,PCT003,"53 years","Total: Male: 53 years"
03,62,PCT0030057,PCT0030002,PCT003,"54 years","Total: Male: 54 years"
03,63,PCT0030058,PCT0030002,PCT003,"55 years","Total: Male: 55 years"
03,64,PCT0030059,PCT0030002,PCT003,"56 years","Total: Male: 56 years"
03,65,PCT0030060,PCT0030002,PCT003,"57 years","Total: Male: 57 years"
03,66,PCT0030061,PCT0030002,PCT003,"58 years","Total: Male: 58 years"
03,67,PCT0030062,PCT0030002,PCT003,"59 years","Total: Male: 59 years"
03,68,PCT0030063,PCT0030002,PCT003,"60 years","Total: Male: 60 years"
03,69,PCT0030064,PCT0030002,PCT003,"61 years","Total: Male: 61 years"
03,70,PCT0030065,PCT0030002,PCT003,"62 years","Total: Male: 62 years"
03,71,PCT0030066,PCT0030002,PCT003,"63 years","Total: Male: 63 years"
03,72,PCT0030067,PCT0030002,PCT003,"64 years","Total: Male: 64 years"
03,73,PCT0030068,PCT0030002,PCT003,"65 years","Total: Male: 65 years"
03,74,PCT0030069,PCT0030002,PCT003,"66 years","Total: Male: 66 years"
03,75,PCT0030070,PCT0030002,PCT003,"67 years","Total: Male: 67 years"
03,76,PCT0030071,PCT0030002,PCT003,"68 years","Total: Male: 68 years"
03,77,PCT0030072,PCT0030002,PCT003,"69 years","Total: Male: 69 years"
03,78,PCT0030073,PCT0030002,PCT003,"70 years","Total: Male: 70 years"
03,79,PCT0030074,PCT0030002,PCT003,"71 years","Total: Male: 71 years"
03,80,PCT0030075,PCT0030002,PCT003,"72 years","Total: Male: 72 years"
03,81,PCT0030076,PCT0030002,PCT003,"73 years","Total: Male: 73 years"
03,82,PCT0030077,PCT0030002,PCT003,"74 years","Total: Male: 74 years"
03,83,PCT0030078,PCT0030002,PCT003,"75 years","Total: Male: 75 years"
03,84,PCT0030079,PCT0030002,PCT003,"76 years","Total: Male: 76 years"
03,85,PCT0030080,PCT0030002,PCT003,"77 years","Total: Male: 77 years"
03,86,PCT0030081,PCT0030002,PCT003,"78 years","Total: Male: 78 years"
03,87,PCT0030082,PCT0030002,PCT003,"79 years","Total: Male: 79 years"
03,88,PCT0030083,PCT0030002,PCT003,"80 years","Total: Male: 80 years"
03,89,PCT0030084,PCT0030002,PCT003,"81 years","Total: Male: 81 years"
03,90,PCT0030085,PCT0030002,PCT003,"82 years","Total: Male: 82 years"
03,91,PCT0030086,PCT0030002,PCT003,"83 years","Total: Male: 83 years"
03,92,PCT0030087,PCT0030002,PCT003,"84 years","Total: Male: 84 years"
03,93,PCT0030088,PCT0030002,PCT003,"85 years","Total: Male: 85 years"
03,94,PCT0030089,PCT0030002,PCT003,"86 years","Total: Male: 86 years"
03,95,PCT0030090,PCT0030002,PCT003,"87 years","Total: Male: 87 years"
03,96,PCT0030091,PCT0030002,PCT003,"88 years","Total: Male: 88 years"
03,97,PCT0030092,PCT0030002,PCT003,"89 years","Total: Male: 89 years"
03,98,PCT0030093,PCT0030002,PCT003,"90 years","Total: Male: 90 years"
03,99,PCT0030094,PCT0030002,PCT003,"91 years","Total: Male: 91 years"
03,100,PCT0030095,PCT0030002,PCT003,"92 years","Total: Male: 92 years"
03,101,PCT0030096,PCT0030002,PCT003,"93 years","Total: Male: 93 years"
03,102,PCT0030097,PCT0030002,PCT003,"94 years","Total: Male: 94 years"
03,103,PCT0030098,PCT0030002,PCT003,"95 years","Total: Male: 95 years"
03,104,PCT0030099,PCT0030002,PCT003,"96 years","Total: Male: 96 years"
03,105,PCT0030100,PCT0030002,PCT003,"97 years","Total: Male: 97 years"
03,106,PCT0030101,PCT0030002,PCT003,"98 years","Total: Male: 98 years"
03,107,PCT0030102,PCT0030002,PCT003,"99 years","Total: Male: 99 years"
03,108,PCT0030103,PCT0030002,PCT003,"100 to 104 years","Total: Male: 100 to 104 years"
03,109,PCT0030104,PCT0030002,PCT003,"105 to 109 years","Total: Male: 105 to 109 years"
03,110,PCT0030105,PCT0030002,PCT003,"110 years and over","Total: Male: 110 years and over"
03,111,PCT0030106,PCT0030001,PCT003,"Female","Total: Female"
03,112,PCT0030107,PCT0030106,PCT003,"Under 1 year","Total: Female: Under 1 year"
03,113,PCT0030108,PCT0030106,PCT003,"1 year","Total: Female: 1 year"
03,114,PCT0030109,PCT0030106,PCT003,"2 years","Total: Female: 2 years"
03,115,PCT0030110,PCT0030106,PCT003,"3 years","Total: Female: 3 years"
03,116,PCT0030111,PCT0030106,PCT003,"4 years","Total: Female: 4 years"
03,117,PCT0030112,PCT0030106,PCT003,"5 years","Total: Female: 5 years"
03,118,PCT0030113,PCT0030106,PCT003,"6 years","Total: Female: 6 years"
03,119,PCT0030114,PCT0030106,PCT003,"7 years","Total: Female: 7 years"
03,120,PCT0030115,PCT0030106,PCT003,"8 years","Total: Female: 8 years"
03,121,PCT0030116,PCT0030106,PCT003,"9 years","Total: Female: 9 years"
03,122,PCT0030117,PCT0030106,PCT003,"10 years","Total: Female: 10 years"
03,123,PCT0030118,PCT0030106,PCT003,"11 years","Total: Female: 11 years"
03,124,PCT0030119,PCT0030106,PCT003,"12 years","Total: Female: 12 years"
03,125,PCT0030120,PCT0030106,PCT003,"13 years","Total: Female: 13 years"
03,126,PCT0030121,PCT0030106,PCT003,"14 years","Total: Female: 14 years"
03,127,PCT0030122,PCT0030106,PCT003,"15 years","Total: Female: 15 years"
03,128,PCT0030123,PCT0030106,PCT003,"16 years","Total: Female: 16 years"
03,129,PCT0030124,PCT0030106,PCT003,"17 years","Total: Female: 17 years"
03,130,PCT0030125,PCT0030106,PCT003,"18 years","Total: Female: 18 years"
03,131,PCT0030126,PCT0030106,PCT003,"19 years","Total: Female: 19 years"
03,132,PCT0030127,PCT0030106,PCT003,"20 years","Total: Female: 20 years"
03,133,PCT0030128,PCT0030106,PCT003,"21 years","Total: Female: 21 years"
03,134,PCT0030129,PCT0030106,PCT003,"22 years","Total: Female: 22 years"
03,135,PCT0030130,PCT0030106,PCT003,"23 years","Total: Female: 23 years"
03,136,PCT0030131,PCT0030106,PCT003,"24 years","Total: Female: 24 years"
03,137,PCT0030132,PCT0030106,PCT003,"25 years","Total: Female: 25 years"
03,138,PCT0030133,PCT0030106,PCT003,"26 years","Total: Female: 26 years"
03,139,PCT0030134,PCT0030106,PCT003,"27 years","Total: Female: 27 years"
03,140,PCT0030135,PCT0030106,PCT003,"28 years","Total: Female: 28 years"
03,141,PCT0030136,PCT0030106,PCT003,"29 years","Total: Female: 29 years"
03,142,PCT0030137,PCT0030106,PCT003,"30 years","Total: Female: 30 years"
03,143,PCT0030138,PCT0030106,PCT003,"31 years","Total: Female: 31 years"
03,144,PCT0030139,PCT0030106,PCT003,"32 years","Total: Female: 32 years"
03,145,PCT0030140,PCT0030106,PCT003,"33 years","Total: Female: 33 years"
03,146,PCT0030141,PCT0030106,PCT003,"34 years","Total: Female: 34 years"
03,147,PCT0030142,PCT0030106,PCT003,"35 years","Total: Female: 35 years"
03,148,PCT0030143,PCT0030106,PCT003,"36 years","Total: Female: 36 years"
03,149,PCT0030144,PCT0030106,PCT003,"37 years","Total: Female: 37 years"
03,150,PCT0030145,PCT0030106,PCT003,"38 years","Total: Female: 38 years"
03,151,PCT0030146,PCT0030106,PCT003,"39 years","Total: Female: 39 years"
03,152,PCT0030147,PCT0030106,PCT003,"40 years","Total: Female: 40 years"
03,153,PCT0030148,PCT0030106,PCT003,"41 years","Total: Female: 41 years"
03,154,PCT0030149,PCT0030106,PCT003,"42 years","Total: Female: 42 years"
03,155,PCT0030150,PCT0030106,PCT003,"43 years","Total: Female: 43 years"
03,156,PCT0030151,PCT0030106,PCT003,"44 years","Total: Female: 44 years"
03,157,PCT0030152,PCT0030106,PCT003,"45 years","Total: Female: 45 years"
03,158,PCT0030153,PCT0030106,PCT003,"46 years","Total: Female: 46 years"
03,159,PCT0030154,PCT0030106,PCT003,"47 years","Total: Female: 47 years"
03,160,PCT0030155,PCT0030106,PCT003,"48 years","Total: Female: 48 years"
03,161,PCT0030156,PCT0030106,PCT003,"49 years","Total: Female: 49 years"
03,162,PCT0030157,PCT0030106,PCT003,"50 years","Total: Female: 50 years"
03,163,PCT0030158,PCT0030106,PCT003,"51 years","Total: Female: 51 years"
03,164,PCT0030159,PCT0030106,PCT003,"52 years","Total: Female: 52 years"
03,165,PCT0030160,PCT0030106,PCT003,"53 years","Total: Female: 53 years"
03,166,PCT0030161,PCT0030106,PCT003,"54 years","Total: Female: 54 years"
03,167,PCT0030162,PCT0030106,PCT003,"55 years","Total: Female: 55 years"
03,168,PCT0030163,PCT0030106,PCT003,"56 years","Total: Female: 56 years"
03,169,PCT0030164,PCT0030106,PCT003,"57 years","Total: Female: 57 years"
03,170,PCT0030165,PCT0030106,PCT003,"58 years","Total: Female: 58 years"
03,171,PCT0030166,PCT0030106,PCT003,"59 years","Total: Female: 59 years"
03,172,PCT0030167,PCT0030106,PCT003,"60 years","Total: Female: 60 years"
03,173,PCT0030168,PCT0030106,PCT003,"61 years","Total: Female: 61 years"
03,174,PCT0030169,PCT0030106,PCT003,"62 years","Total: Female: 62 years"
03,175,PCT0030170,PCT0030106,PCT003,"63 years","Total: Female: 63 years"
03,176,PCT0030171,PCT0030106,PCT003,"64 years","Total: Female: 64 years"
03,177,PCT0030172,PCT0030106,PCT003,"65 years","Total: Female: 65 years"
03,178,PCT0030173,PCT0030106,PCT003,"66 years","Total: Female: 66 years"
03,179,PCT0030174,PCT0030106,PCT003,"67 years","Total: Female: 67 years"
03,180,PCT0030175,PCT0030106,PCT003,"68 years","Total: Female: 68 years"
03,181,PCT0030176,PCT0030106,PCT003,"69 years","Total: Female: 69 years"
03,182,PCT0030177,PCT0030106,PCT003,"70 years","Total: Female: 70 years"
03,183,PCT0030178,PCT0030106,PCT003,"71 years","Total: Female: 71 years"
03,184,PCT0030179,PCT0030106,PCT003,"72 years","Total: Female: 72 years"
03,185,PCT0030180,PCT0030106,PCT003,"73 years","Total: Female: 73 years"
03,186,PCT0030181,PCT0030106,PCT003,"74 years","Total: Female: 74 years"
03,187,PCT0030182,PCT0030106,PCT003,"75 years","Total: Female: 75 years"
03,188,PCT0030183,PCT0030106,PCT003,"76 years","Total: Female: 76 years"
03,189,PCT0030184,PCT0030106,PCT003,"77 years","Total: Female: 77 years"
03,190,PCT0030185,PCT0030106,PCT003,"78 years","Total: Female: 78 years"
03,191,PCT0030186,PCT0030106,PCT003,"79 years","Total: Female: 79 years"
03,192,PCT0030187,PCT0030106,PCT003,"80 years","Total: Female: 80 years"
03,193,PCT0030188,PCT0030106,PCT003,"81 years","Total: Female: 81 years"
03,194,PCT0030189,PCT0030106,PCT003,"82 years","Total: Female: 82 years"
03,195,PCT0030190,PCT0030106,PCT003,"83 years","Total: Female: 83 years"
03,196,PCT0030191,PCT0030106,PCT003,"84 years","Total: Female: 84 years"
03,197,PCT0030192,PCT0030106,PCT003,"85 years","Total: Female: 85 years"
03,198,PCT0030193,PCT0030106,PCT003,"86 years","Total: Female: 86 years"
03,199,PCT0030194,PCT0030106,PCT003,"87 years","Total: Female: 87 years"
03,200,PCT0030195,PCT0030106,PCT003,"88 years","Total: Female: 88 years"
03,201,PCT0030196,PCT0030106,PCT003,"89 years","Total: Female: 89 years"
03,202,PCT0030197,PCT0030106,PCT003,"90 years","Total: Female: 90 years"
03,203,PCT0030198,PCT0030106,PCT003,"91 years","Total: Female: 91 years"
03,204,PCT0030199,PCT0030106,PCT003,"92 years","Total: Female: 92 years"
03,205,PCT0030200,PCT0030106,PCT003,"93 years","Total: Female: 93 years"
03,206,PCT0030201,PCT0030106,PCT003,"94 years","Total: Female: 94 years"
03,207,PCT0030202,PCT0030106,PCT003,"95 years","Total: Female: 95 years"
03,208,PCT0030203,PCT0030106,PCT003,"96 years","Total: Female: 96 years"
03,209,PCT0030204,PCT0030106,PCT003,"97 years","Total: Female: 97 years"
03,210,PCT0030205,PCT0030106,PCT003,"98 years","Total: Female: 98 years"
03,211,PCT0030206,PCT0030106,PCT003,"99 years","Total: Female: 99 years"
03,212,PCT0030207,PCT0030106,PCT003,"100 to 104 years","Total: Female: 100 to 104 years"
03,213,PCT0030208,PCT0030106,PCT003,"105 to 109 years","Total: Female: 105 to 109 years"
03,214,PCT0030209,PCT0030106,PCT003,"110 years and over","Total: Female: 110 years and over"
03,215,PCT0040001,PCT0030001,PCT004,"Both sexes","Total: Both sexes"
03,216,PCT0040002,PCT0030001,PCT004,"Male","Total: Male"
03,217,PCT0040003,PCT0030001,PCT004,"Female","Total: Female"
04,1,FILEID,NA,HEAD,"File Identification","File Identification"
04,2,STUSAB,NA,HEAD,"State/US-Abbreviation (USPS)","State/US-Abbreviation (USPS)"
04,3,CHARITER,NA,HEAD,"Characteristic iteration","Characteristic iteration"
04,4,CIFSN,NA,HEAD,"Characteristic Iteration File Sequence Number","Characteristic Iteration File Sequence Number"
04,5,LOGRECNO,NA,HEAD,"Logical Record Number","Logical Record Number"
04,6,PCT0050001,NA,PCT005,"Total","Total"
04,7,PCT0050002,PCT0050001,PCT005,"Male","Total: Male"
04,8,PCT0050003,PCT0050002,PCT005,"Under 5 years","Total: Male: Under 5 years"
04,9,PCT0050004,PCT0050002,PCT005,"5 to 9 years","Total: Male: 5 to 9 years"
04,10,PCT0050005,PCT0050002,PCT005,"10 to 14 years","Total: Male: 10 to 14 years"
04,11,PCT0050006,PCT0050002,PCT005,"15 to 17 years","Total: Male: 15 to 17 years"
04,12,PCT0050007,PCT0050002,PCT005,"18 and 19 years","Total: Male: 18 and 19 years"
04,13,PCT0050008,PCT0050002,PCT005,"20 years","Total: Male: 20 years"
04,14,PCT0050009,PCT0050002,PCT005,"21 years","Total: Male: 21 years"
04,15,PCT0050010,PCT0050002,PCT005,"22 to 24 years","Total: Male: 22 to 24 years"
04,16,PCT0050011,PCT0050002,PCT005,"25 to 29 years","Total: Male: 25 to 29 years"
04,17,PCT0050012,PCT0050002,PCT005,"30 to 34 years","Total: Male: 30 to 34 years"
04,18,PCT0050013,PCT0050002,PCT005,"35 to 39 years","Total: Male: 35 to 39 years"
04,19,PCT0050014,PCT0050002,PCT005,"40 to 44 years","Total: Male: 40 to 44 years"
04,20,PCT0050015,PCT0050002,PCT005,"45 to 49 years","Total: Male: 45 to 49 years"
04,21,PCT0050016,PCT0050002,PCT005,"50 to 54 years","Total: Male: 50 to 54 years"
04,22,PCT0050017,PCT0050002,PCT005,"55 to 59 years","Total: Male: 55 to 59 years"
04,23,PCT0050018,PCT0050002,PCT005,"60 and 61 years","Total: Male: 60 and 61 years"
04,24,PCT0050019,PCT0050002,PCT005,"62 to 64 years","Total: Male: 62 to 64 years"
04,25,PCT0050020,PCT0050002,PCT005,"65 and 66 years","Total: Male: 65 and 66 years"
04,26,PCT0050021,PCT0050002,PCT005,"67 to 69 years","Total: Male: 67 to 69 years"
04,27,PCT0050022,PCT0050002,PCT005,"70 to 74 years","Total: Male: 70 to 74 years"
04,28,PCT0050023,PCT0050002,PCT005,"75 to 79 years","Total: Male: 75 to 79 years"
04,29,PCT0050024,PCT0050002,PCT005,"80 to 84 years","Total: Male: 80 to 84 years"
04,30,PCT0050025,PCT0050002,PCT005,"85 years and over","Total: Male: 85 years and over"
04,31,PCT0050026,PCT0050001,PCT005,"Female","Total: Female"
04,32,PCT0050027,PCT0050026,PCT005,"Under 5 years","Total: Female: Under 5 years"
04,33,PCT0050028,PCT0050026,PCT005,"5 to 9 years","Total: Female: 5 to 9 years"
04,34,PCT0050029,PCT0050026,PCT005,"10 to 14 years","Total: Female: 10 to 14 years"
04,35,PCT0050030,PCT0050026,PCT005,"15 to 17 years","Total: Female: 15 to 17 years"
04,36,PCT0050031,PCT0050026,PCT005,"18 and 19 years","Total: Female: 18 and 19 years"
04,37,PCT0050032,PCT0050026,PCT005,"20 years","Total: Female: 20 years"
04,38,PCT0050033,PCT0050026,PCT005,"21 years","Total: Female: 21 years"
04,39,PCT0050034,PCT0050026,PCT005,"22 to 24 years","Total: Female: 22 to 24 years"
04,40,PCT0050035,PCT0050026,PCT005,"25 to 29 years","Total: Female: 25 to 29 years"
04,41,PCT0050036,PCT0050026,PCT005,"30 to 34 years","Total: Female: 30 to 34 years"
04,42,PCT0050037,PCT0050026,PCT005,"35 to 39 years","Total: Female: 35 to 39 years"
04,43,PCT0050038,PCT0050026,PCT005,"40 to 44 years","Total: Female: 40 to 44 years"
04,44,PCT0050039,PCT0050026,PCT005,"45 to 49 years","Total: Female: 45 to 49 years"
04,45,PCT0050040,PCT0050026,PCT005,"50 to 54 years","Total: Female: 50 to 54 years"
04,46,PCT0050041,PCT0050026,PCT005,"55 to 59 years","Total: Female: 55 to 59 years"
04,47,PCT0050042,PCT0050026,PCT005,"60 and 61 years","Total: Female: 60 and 61 years"
04,48,PCT0050043,PCT0050026,PCT005,"62 to 64 years","Total: Female: 62 to 64 years"
04,49,PCT0050044,PCT0050026,PCT005,"65 and 66 years","Total: Female: 65 and 66 years"
04,50,PCT0050045,PCT0050026,PCT005,"67 to 69 years","Total: Female: 67 to 69 years"
04,51,PCT0050046,PCT0050026,PCT005,"70 to 74 years","Total: Female: 70 to 74 years"
04,52,PCT0050047,PCT0050026,PCT005,"75 to 79 years","Total: Female: 75 to 79 years"
04,53,PCT0050048,PCT0050026,PCT005,"80 to 84 years","Total: Female: 80 to 84 years"
04,54,PCT0050049,PCT0050026,PCT005,"85 years and over","Total: Female: 85 years and over"
04,55,PCT0060001,NA,PCT006,"Total","Total"
04,56,PCT0060002,PCT0060001,PCT006,"Under 18 years","Total: Under 18 years"
04,57,PCT0060003,PCT0060001,PCT006,"18 years and over","Total: 18 years and over"
04,58,PCT0070001,PCT0060001,PCT007,"Total","Total: Total"
04,59,PCT0070002,PCT0070001,PCT007,"Under 18 years","Total: Total: Under 18 years"
04,60,PCT0070003,PCT0070001,PCT007,"18 years and over","Total: Total: 18 years and over"
04,61,PCT0080001,NA,PCT008,"Total","Total"
04,62,PCT0080002,PCT0080001,PCT008,"Family households","Total: Family households"
04,63,PCT0080003,PCT0080002,PCT008,"Husband-wife family","Total: Family households: Husband-wife family"
04,64,PCT0080004,PCT0080002,PCT008,"Other family","Total: Family households: Other family"
04,65,PCT0080005,PCT0080004,PCT008,"Male householder, no wife present","Total: Family households: Other family: Male householder, no wife present"
04,66,PCT0080006,PCT0080004,PCT008,"Female householder, no husband present","Total: Family households: Other family: Female householder, no husband present"
04,67,PCT0080007,PCT0080001,PCT008,"Nonfamily households","Total: Nonfamily households"
04,68,PCT0080008,PCT0080007,PCT008,"Householder living alone","Total: Nonfamily households: Householder living alone"
04,69,PCT0080009,PCT0080007,PCT008,"Householder not living alone","Total: Nonfamily households: Householder not living alone"
04,70,PCT0090001,NA,PCT009,"Total","Total"
04,71,PCT0090002,PCT0090001,PCT009,"1-person household","Total: 1-person household"
04,72,PCT0090003,PCT0090002,PCT009,"Male householder","Total: 1-person household: Male householder"
04,73,PCT0090004,PCT0090002,PCT009,"Female householder","Total: 1-person household: Female householder"
04,74,PCT0090005,PCT0090001,PCT009,"2-or-more-person household","Total: 2-or-more-person household"
04,75,PCT0090006,PCT0090005,PCT009,"Family households","Total: 2-or-more-person household: Family households"
04,76,PCT0090007,PCT0090006,PCT009,"Husband-wife family","Total: 2-or-more-person household: Family households: Husband-wife family"
04,77,PCT0090008,PCT0090007,PCT009,"With own children under 18 years","Total: 2-or-more-person household: Family households: Husband-wife family: With own children under 18 years"
04,78,PCT0090009,PCT0090007,PCT009,"No own children under 18 years","Total: 2-or-more-person household: Family households: Husband-wife family: No own children under 18 years"
04,79,PCT0090010,PCT0090006,PCT009,"Other family","Total: 2-or-more-person household: Family households: Other family"
04,80,PCT0090011,PCT0090010,PCT009,"Male householder, no wife present","Total: 2-or-more-person household: Family households: Other family: Male householder, no wife present"
04,81,PCT0090012,PCT0090011,PCT009,"With own children under 18 years","Total: 2-or-more-person household: Family households: Other family: Male householder, no wife present: With own children under 18 years"
04,82,PCT0090013,PCT0090011,PCT009,"No own children under 18 years","Total: 2-or-more-person household: Family households: Other family: Male householder, no wife present: No own children under 18 years"
04,83,PCT0090014,PCT0090010,PCT009,"Female householder, no husband present","Total: 2-or-more-person household: Family households: Other family: Female householder, no husband present"
04,84,PCT0090015,PCT0090014,PCT009,"With own children under 18 years","Total: 2-or-more-person household: Family households: Other family: Female householder, no husband present: With own children under 18 years"
04,85,PCT0090016,PCT0090014,PCT009,"No own children under 18 years","Total: 2-or-more-person household: Family households: Other family: Female householder, no husband present: No own children under 18 years"
04,86,PCT0090017,PCT0090005,PCT009,"Nonfamily households","Total: 2-or-more-person household: Nonfamily households"
04,87,PCT0090018,PCT0090017,PCT009,"Male householder","Total: 2-or-more-person household: Nonfamily households: Male householder"
04,88,PCT0090019,PCT0090017,PCT009,"Female householder","Total: 2-or-more-person household: Nonfamily households: Female householder"
04,89,PCT0100001,NA,PCT010,"Total","Total"
04,90,PCT0100002,PCT0100001,PCT010,"Households with one or more people under 18 years","Total: Households with one or more people under 18 years"
04,91,PCT0100003,PCT0100002,PCT010,"Family households","Total: Households with one or more people under 18 years: Family households"
04,92,PCT0100004,PCT0100003,PCT010,"Husband-wife family","Total: Households with one or more people under 18 years: Family households: Husband-wife family"
04,93,PCT0100005,PCT0100004,PCT010,"Under 6 years only","Total: Households with one or more people under 18 years: Family households: Husband-wife family: Under 6 years only"
