ID, FIELD, START_POS, FIELD_SIZE, DATA_TYPE, DESCRIPTION
 37,  TBLKGRP, 105,  1, c, "Tribal Block Group"
 38,     ANRC, 106,  5, c, "Alaska Native Regional Corporation (FIPS)"
 39,   ANRCCC, 111,  2, c, "FIPS Alaska Native Regional Corporation Class Code"
 40,     CBSA, 113,  5, c, "Metropolitan Statistical Area/Micropolitan Statistical Area"
 41,   CBSASC, 118,  2, c, "Metropolitan Statistical Area/Micropolitan Statistical Area Size Code"
 42,   METDIV, 120,  5, c, "Metropolitan Division"
 43,      CSA, 125,  3, c, "Combined Statistical Area"
 44,    NECTA, 128,  5, c, "New England City and Town Area"
 45,  NECTASC, 133,  2, c, "New England City and Town Area Size Code"
 46, NECTADIV, 135,  5, c, "New England City and Town Area Division"
 47,   CNECTA, 140,  3, c, "Combined New England City and Town Area"
 48,  CBSAPCI, 143,  1, c, "Metropolitan Statistical Area/Micropolitan Statistical Area Principal City Indicator"
 49, NECTAPCI, 144,  1, c, "New England City and Town Area Principal City Indicator"
 50,       UA, 145,  5, c, "Urban Area"
 51,     UASC, 150,  2, c, "Urban Area Size Code"
 52,   UATYPE, 152,  1, c, "Urban Area Type"
 53,       UR, 153,  1, c, "Urban/Rural"
 54,       CD, 154,  2, c, "Congressional District (111th)"
 55,     SLDU, 156,  3, c, "State Legislative District (Upper Chamber) (Year 1)"
 56,     SLDL, 159,  3, c, "State Legislative District (Lower Chamber) (Year 1)"
 57,      VTD, 162,  6, c, "Voting District"
 58,     VTDI, 168,  1, c, "Voting District Indicator"
 59, RESERVE2, 169,  3, c, "Reserved"
 60,    ZCTA5, 172,  5, c, "ZIP Code Tabulation Area (5-Digit)"
 61,   SUBMCD, 177,  5, c, "Subminor Civil Division (FIPS)"
 62, SUBMCDCC, 182,  2, c, "FIPS Subminor Civil Division Class Code"
 63,    SDELM, 184,  5, c, "School District (Elementary)"
 64,    SDSEC, 189,  5, c, "School District (Secondary)"
 65,    SDUNI, 194,  5, c, "School District (Unified)"
 66, AREALAND, 199, 14, d, "Area (Land)"
 67, AREAWATR, 213, 14, d, "Area (Water)"
 68,     NAME, 227, 90, c, "Area Name-Legal/Statistical Area Description (LSAD) Term-Part Indicator"
 69, FUNCSTAT, 317,  1, c, "Functional Status Code"
 70,    GCUNI, 318,  1, c, "Geographic Change User Note Indicator"
 71,   POP100, 319,  9, c, "Population Count (100%)"
 72,    HU100, 328,  9, c, "Housing Unit Count (100%)"
 73, INTPTLAT, 337, 11, c, "Internal Point (Latitude)"
 74, INTPTLON, 348, 12, c, "Internal Point (Longitude)"
 75,    LSADC, 360,  2, c, "Legal/Statistical Area Description Code"
 76, PARTFLAG, 362,  1, c, "Part Flag"
 77, RESERVE3, 363,  6, c, "Reserved"
 78,      UGA, 369,  5, c, "Urban Growth Area"
 79,  STATENS, 374,  8, c, "State (ANSI)"
 80, COUNTYNS, 382,  8, c, "County (ANSI)"
 81, COUSUBNS, 390,  8, c, "County Subdivision (ANSI)"
 82,  PLACENS, 398,  8, c, "Place (ANSI)"
 83, CONCITNS, 406,  8, c, "Consolidated City (ANSI)"
 84, AIANHHNS, 414,  8, c, "American Indian Area/Alaska Native Area/Hawaiian Home Land (ANSI)"
 85,   AITSNS, 422,  8, c, "American Indian Tribal Subdivision (ANSI)"
 86,   ANRCNS, 430,  8, c, "Alaska Native Regional Corporation (ANSI)"
 87, SUBMCDNS, 438,  8, c, "Subminor Civil Division (ANSI)"
 88,    CD113, 446,  2, c, "Congressional District (113th)"
 89,    CD114, 448,  2, c, "Congressional District (114th)"
 90,    CD115, 450,  2, c, "Congressional District (115th)"
 91,    SLDU2, 452,  3, c, "State Legislative District (Upper Chamber) (Year 2)"
 92,    SLDU3, 455,  3, c, "State Legislative District (Upper Chamber) (Year 3)"
 93,    SLDU4, 458,  3, c, "State Legislative District (Upper Chamber) (Year 4)"
 94,    SLDL2, 461,  3, c, "State Legislative District (Lower Chamber) (Year 2)"
 95,    SLDL3, 464,  3, c, "State Legislative District (Lower Chamber) (Year 3)"
 96,    SLDL4, 467,  3, c, "State Legislative District (Lower Chamber) (Year 4)"
 97, AIANHHSC, 470,  2, c, "American Indian Area/Alaska Native Area/Hawaiian Home Land Size Code"
 98,    CSASC, 472,  2, c, "Combined Statistical Area Size Code"
 99, CNECTASC, 474,  2, c, "Combined NECTA Size Code"
100,     MEMI, 476,  1, c, "Metropolitan/Micropolitan Indicator"
101,    NMEMI, 477,  1, c, "NECTA Metropolitan/Micropolitan Indicator"
102,     PUMA, 478,  5, c, "Public Use Microdata Area"
103, RESERVED, 483, 18, c, "Reserved"
