CODE, DESCRIPTION
052,"Native Hawaiian alone (500-503)"
053,"Samoan alone (510-511)"
054,"Tongan alone (513)"
055,"Micronesian alone (520-529, 531-541)"
056,"Guamanian or Chamorro alone (520-522)"
057,"Melanesian alone (542-546)"
058,"Fijian alone (542)"
060,"Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races  (500-599) & (100-299) or (300, A01-Z99) or (400-999):"
061,"Polynesian alone or in any combination (500-519) & (100-299) or (300, A01-Z99) or (400-999):"
062,"Native Hawaiian alone or in any combination (500-503) & (100-299) or (300, A01-Z99) or (400-999)"
063,"Samoan alone or in any combination (510-511) & (100-299) or (300, A01-Z99) or (400-999)"
064,"Tongan alone or in any combination (513) & (100-299) or (300, A01-Z99) or (400-999)"
065,"Micronesian alone or in any combination (520-529, 531-541) & (100-299) or (300, A01-Z99) or (400-999)"
066,"Guamanian or Chamorro alone or in any combination (520-522) & (100-299) or (300, A01-Z99) or (400-999)"
067,"Melanesian alone or in any combination (542-546) & (100-299) or (300, A01-Z99) or (400-999)"
068,"Fijian alone or in any combination (542) & (100-299) or (300, A01-Z99) or (400-999)"
070,"Some Other Race alone"
071,"Some Other Race alone or in combination with one or more other races"
072,"Bhutanese alone (403)"
073,"Burmese alone (404)"
075,"Mongolian alone (465)"
076,"Nepalese alone (472)"
077,"Okinawan alone (444)"
078,"Singaporean alone (473)"
080,"Bhutanese alone or in any combination (403) & (100-299) or (300, A01-Z99) or (400-999)"
081,"Burmese alone or in any combination (404) & (100-299) or (300, A01-Z99) or (400-999)"
082,"Maldivian alone or in any combination (471) & (100-299) or (300, A01-Z99) or (400-999)"
083,"Mongolian alone or in any combination (465) & (100-299) or (300, A01-Z99) or (400-999)"
084,"Nepalese alone or in any combination (472) & (100-299) or (300, A01-Z99) or (400-999)"
085,"Okinawan alone or in any combination (444) & (100-299) or (300, A01-Z99) or (400-999)"
086,"Singaporean alone or in any combination (473) & (100-299) or (300, A01-Z99) or (400-999)"
088,"Tahitian alone (512)"
089,"Tokelauan alone (515)"
091,"Carolinian alone (534)"
092,"Chuukese alone (540)"
093,"I-Kiribati alone (539)"
094,"Kosraean alone (535)"
095,"Mariana Islander alone (531)"
096,"Marshallese alone (532)"
097,"Palauan alone (533)"
098,"Pohnpeian alone (537)"
099,"Saipanese alone (538)"
100,"Two or More Races"
101,"Two races with Some Other Race"
103,"Two races without Some Other Race"
104,"Three or more races"
105,"White; Black or African American"
106,"White; American Indian and Alaska Native"
107,"White; Asian"
108,"White; Native Hawaiian and Other Pacific Islander"
109,"White; Some Other Race"
110,"Black or African American; American Indian and Alaska Native"
111,"Black or African American; Asian"
112,"Black or African American; Native Hawaiian and Other Pacific Islander"
113,"Black or African American; Some Other Race"
114,"American Indian and Alaska Native; Asian"
115,"American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander"
116,"American Indian and Alaska Native; Some Other Race"
117,"Asian; Native Hawaiian and Other Pacific Islander"
118,"Asian; Some Other Race"
119,"Native Hawaiian and Other Pacific Islander; Some Other Race"
120,"White; Black or African American; American Indian and Alaska Native"
121,"White; Black or African American; Asian"
122,"White; Black or African American; Native Hawaiian and Other Pacific Islander"
123,"White; Black or African American; Some Other Race"
124,"White; American Indian and Alaska Native; Asian"
125,"White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander"
126,"White; American Indian and Alaska Native; Some Other Race"
127,"White; Asian; Native Hawaiian and Other Pacific Islander"
128,"White; Asian; Some Other Race"
129,"White; Native Hawaiian and Other Pacific Islander; Some Other Race"
130,"Black or African American; American Indian and Alaska Native; Asian"
131,"Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander"
132,"Black or African American; American Indian and Alaska Native; Some Other Race"
133,"Black or African American; Asian; Native Hawaiian and Other Pacific Islander"
134,"Black or African American; Asian; Some Other Race"
135,"Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race"
136,"American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander"
137,"American Indian and Alaska Native; Asian; Some Other Race"
138,"American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race"
139,"Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"
140,"White; Black or African American; American Indian and Alaska Native; Asian"
141,"White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander"
142,"White; Black or African American; American Indian and Alaska Native; Some Other Race"
143,"White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander"
144,"White; Black or African American; Asian; Some Other Race"
145,"White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race"
146,"White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander"
147,"White; American Indian and Alaska Native; Asian; Some Other Race"
148,"White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race"
149,"White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"
150,"Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander"
151,"Black or African American; American Indian and Alaska Native; Asian; Some Other Race"
152,"Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race"
153,"Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"
154,"American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"
155,"White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander"
156,"White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race"
157,"White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race"
158,"White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"
159,"White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"
160,"Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"
161,"White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"
162,"Yapese alone (541)"
164,"Papua New Guinean alone (544)"
168,"Tahitian alone or in any combination (512) & (100-299) or (300, A01-Z99) or (400-999)"
169,"Tokelauan alone or in any combination (515) & (100-299) or (300, A01-Z99) or (400-999)"
171,"Carolinian alone or in any combination (534) & (100-299) or (300, A01-Z99) or (400-999)"
172,"Chuukese alone or in any combination (540) & (100-299) or (300, A01-Z99) or (400-999)"
173,"I-Kiribati alone or in any combination (539) & (100-299) or (300, A01-Z99) or (400-999)"
174,"Kosraean alone or in any combination (535) & (100-299) or (300, A01-Z99) or (400-999)"
175,"Mariana Islander alone or in any combination (531) & (100-299) or (300, A01-Z99) or (400-999)"
176,"Marshallese alone or in any combination (532) & (100-299) or (300, A01-Z99) or (400-999)"
177,"Palauan alone or in any combination (533) & (100-299) or (300, A01-Z99) or (400-999)"
178,"Pohnpeian alone or in any combination (537) & (100-299) or (300, A01-Z99) or (400-999)"
179,"Saipanese alone or in any combination (538) & (100-299) or (300, A01-Z99) or (400-999)"
180,"Yapese alone or in any combination (541) & (100-299) or (300, A01-Z99) or (400-999)"
182,"Papua New Guinean alone or in any combination (544) & (100-299) or (300, A01-Z99) or (400-999)"
183,"Solomon Islander alone or in any combination (545) & (100-299) or (300, A01-Z99) or (400-999)"
187,"Alaska Native tribes, specified, alone (M52-R98, S01-S99)"
188,"Inupiat alone (N67-P29, P33-P37)"
189,"Tsimshian alone (N56-N58)"
190,"Yup'ik alone (P30-P32, P38-R10)"
193,"American Indian tribes, specified, alone or in any combination (A01-M38, T01-Z99) & (100-299) or (300, A01-Z99) or (400-999)"
194,"Arapaho alone or in any combination (A24-A33) & (100-299) or (300, A01-Z99) or (400-999)"
195,"Assiniboine Sioux alone or in any combination (A38-A44) & (100-299) or (300, A01-Z99) or (400-999)"
196,"Canadian and French American Indian alone or in any combination (T01-V23) & (100-299) or (300, A01-Z99) or (400-999)"
197,"Central American Indian alone or in any combination (V24-V83) & (100-299) or (300, A01-Z99) or (400-999)"
198,"Chippewa Cree alone or in any combination (C01-C04) & (100-299) or (300, A01-Z99) or (400-999)"
199,"Chumash alone or in any combination (C20-C24) & (100-299) or (300, A01-Z99) or (400-999)"
200,"Alaskan Athabascan alone (M52-N27)"
201,"Alaskan Athabascan alone or in any combination (M52-N27) & (100-299) or (300, A01-Z99) or (400-999)"
202,"Aleut alone (R11-R98, S01-S99)"
203,"Aleut alone or in any combination (R11-R98, S01-S99) & (100-299) or (300, A01-Z99) or (400-999)"
204,"Apache alone (A09-A23)"
205,"Apache alone or in any combination (A09-A23) & (100-299) or (300, A01-Z99) or (400-999)"
206,"Blackfeet alone (A45-A50)"
207,"Blackfeet alone or in any combination (A45-A50) & (100-299) or (300, A01-Z99) or (400-999)"
210,"Cheyenne alone (B40-B45)"
211,"Cheyenne alone or in any combination (B40-B45) & (100-299) or (300, A01-Z99) or (400-999)"
212,"Chickasaw alone (B53-B56)"
213,"Chickasaw alone or in any combination (B53-B56) & (100-299) or (300, A01-Z99) or (400-999)"
214,"Chippewa alone (B67-B99)"
215,"Chippewa alone or in any combination (B67-B99) & (100-299) or (300, A01-Z99) or (400-999)"
216,"Choctaw alone (C08-C16)"
217,"Choctaw alone or in any combination (C08-C16) & (100-299) or (300, A01-Z99) or (400-999)"
218,"Colville alone (C35-C38)"
219,"Colville alone or in any combination (C35-C38) & (100-299) or (300, A01-Z99) or (400-999)"
220,"Comanche alone (C39-C43)"
221,"Comanche alone or in any combination (C39-C43) & (100-299) or (300, A01-Z99) or (400-999)"
222,"Cree alone (C59-C63)"
223,"Cree alone or in any combination (C59-C63) & (100-299) or (300, A01-Z99) or (400-999)"
224,"Creek alone (C64-C80)"
225,"Creek alone or in any combination (C64-C80) & (100-299) or (300, A01-Z99) or (400-999)"
226,"Crow alone (C83-C86)"
227,"Crow alone or in any combination (C83-C86) & (100-299) or (300, A01-Z99) or (400-999)"
228,"Delaware alone (C93-D04)"
229,"Delaware alone or in any combination (C93-D04) & (100-299) or (300, A01-Z99) or (400-999)"
232,"Houma alone (D78-D86)"
233,"Houma alone or in any combination (D78-D86) & (100-299) or (300, A01-Z99) or (400-999)"
234,"Iroquois alone (D93-E09)"
235,"Iroquois alone or in any combination (D93-E09) & (100-299) or (300, A01-Z99) or (400-999)"
236,"Kiowa alone (E30-E36)"
237,"Kiowa alone or in any combination (E30-E36) & (100-299) or (300, A01-Z99) or (400-999)"
240,"Lumbee alone (E78-E83)"
241,"Lumbee alone or in any combination (E78-E83) & (100-299) or (300, A01-Z99) or (400-999)"
242,"Menominee alone (F11-F14)"
243,"Menominee alone or in any combination (F11-F14) & (100-299) or (300, A01-Z99) or (400-999)"
244,"Navajo alone (F62-F70)"
245,"Navajo alone or in any combination (F62-F70) & (100-299) or (300, A01-Z99) or (400-999)"
246,"Osage alone (G04-G09)"
247,"Osage alone or in any combination (G04-G09) & (100-299) or (300, A01-Z99) or (400-999)"
248,"Ottawa alone (G14-G22)"
249,"Ottawa alone or in any combination (G14-G22) & (100-299) or (300, A01-Z99) or (400-999)"
250,"Paiute alone (G23-G49)"
251,"Paiute alone or in any combination (G23-G49) & (100-299) or (300, A01-Z99) or (400-999)"
252,"Pima alone (G84-G91)"
253,"Pima alone or in any combination (G84-G91) & (100-299) or (300, A01-Z99) or (400-999)"
254,"Potawatomi alone (H21-H33)"
255,"Potawatomi alone or in any combination (H21-H33) & (100-299) or (300, A01-Z99) or (400-999)"
258,"Puget Sound Salish alone (H70-H92)"
259,"Puget Sound Salish alone or in any combination (H70-H92) & (100-299) or (300, A01-Z99) or (400-999)"
260,"Seminole alone (J47-J57)"
261,"Seminole alone or in any combination (J47-J57) & (100-299) or (300, A01-Z99) or (400-999)"
262,"Shoshone alone (J81-J92)"
263,"Shoshone alone or in any combination (J81-J92) & (100-299) or (300, A01-Z99) or (400-999)"
270,"Ute alone (L06-L14)"
271,"Ute alone or in any combination (L06-L14) & (100-299) or (300, A01-Z99) or (400-999)"
272,"Yakama alone (L79-L84)"
273,"Yakama alone or in any combination (L79-L84) & (100-299) or (300, A01-Z99) or (400-999)"
274,"Yaqui alone (L91-L99)"
275,"Yaqui alone or in any combination (L91-L99) & (100-299) or (300, A01-Z99) or (400-999)"
276,"Yuman alone (M22-M33)"
277,"Yuman alone or in any combination (M22-M33) & (100-299) or (300, A01-Z99) or (400-999)"
278,"American Indian tribes, specified, alone (A01-M38, T01-Z99)"
279,"Arapaho alone (A24-A33)"
280,"Assiniboine Sioux alone (A38-A44)"
281,"Canadian and French American Indian alone (T01-V23)"
282,"Central American Indian alone (V24-V83)"
285,"Eastern Tribes alone (D20-D26, D28-D41)"
286,"Hopi alone (D74-D75)"
288,"Mexican American Indian alone (V84-W66)"
295,"Shawnee alone (J66-J73)"
296,"South American Indian alone (W67-X24)"
297,"Spanish American Indian alone (X25-Z99)"
320,"Cherokee alone (B21-B39)"
321,"Pueblo alone (H38, H40, H42-H65)"
322,"Sioux alone (K16-K21, K23-K53)"
323,"Tohono O'Odham alone (K78-K86)"
324,"Tlingit-Haida alone (N28-N55, N59-N66)"
325,"Cherokee alone or in any combination (B21-B39) & (100-299) or (300, A01-Z99) or (400-999)"
326,"Pueblo alone or in any combination (H38, H40, H42-H65) & (100-299) or (300, A01-Z99) or (400-999)"
327,"Sioux alone or in any combination (K16-K21, K23-K53) & (100-299) or (300, A01-Z99) or (400-999)"
328,"Tohono O'Odham alone or in any combination (K78-K86) & (100-299) or (300, A01-Z99) or (400-999)"
329,"Tlingit-Haida alone or in any combination (N28-N55, N59-N66) & (100-299) or (300, A01-Z99) or (400-999)"
400,"Hispanic or Latino (of any race) (200-299)"
401,"Mexican (210-220)"
402,"Puerto Rican (260-269)"
403,"Cuban (270-274)"
404,"Other Hispanic or Latino (200-209, 221-259, 275-299)"
405,"Dominican (Dominican Republic) (275-279)"
406,"Central American (excludes Mexican) (221-230)"
407,"Costa Rican (221)"
408,"Guatemalan (222)"
409,"Honduran (223)"
410,"Nicaraguan (224)"
411,"Panamanian (225)"
412,"Salvadoran (226)"
413,"South American (231-249)"
414,"Argentinean (231)"
415,"Bolivian (232)"
416,"Chilean (233)"
417,"Colombian (234)"
418,"Ecuadorian (235)"
419,"Paraguayan (236)"
420,"Peruvian (237)"
421,"Uruguayan (238)"
422,"Venezuelan (239)"
423,"Spaniard (200-209)"
450,"Not Hispanic or Latino"
451,"White alone, not Hispanic or Latino"
452,"White alone or in combination with one or more other races, not Hispanic or Latino"
453,"Black or African American alone, not Hispanic or Latino"
454,"Black or African American alone or in combination with one or more other races, not Hispanic or Latino"
455,"American Indian and Alaska Native alone, not Hispanic or Latino"
456,"American Indian and Alaska Native alone or in combination with one or more other races, not Hispanic or Latino"
457,"Asian alone, not Hispanic or Latino"
458,"Asian alone or in combination with one or more other races, not Hispanic or Latino"
459,"Native Hawaiian and Other Pacific Islander alone, not Hispanic or Latino"
460,"Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races, not Hispanic or Latino"
461,"Some Other Race alone, not Hispanic or Latino"
462,"Some Other Race alone or in combination with one or more other races, not Hispanic or Latino"
463,"Two or More Races, not Hispanic or Latino"
464,"White alone, Hispanic or Latino"
465,"White alone or in combination with one or more other races, Hispanic or Latino"
466,"Black or African American alone, Hispanic or Latino"
467,"Black or African American alone or in combination with one or more other races, Hispanic or Latino"
468,"American Indian and Alaska Native alone, Hispanic or Latino"
469,"American Indian and Alaska Native alone or in combination with one or more other races, Hispanic or Latino"
470,"Asian alone, Hispanic or Latino"
471,"Asian alone or in combination with one or more other races, Hispanic or Latino"
472,"Native Hawaiian and Other Pacific Islander alone, Hispanic or Latino"
473,"Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races, Hispanic or Latino"
474,"Some Other Race alone, Hispanic or Latino"
475,"Some Other Race alone or in combination with one or more other races, Hispanic or Latino"
476,"Two or More Races, Hispanic or Latino"
477,"Eastern Tribes alone or in any combination (D20-D26, D28-D41) & (100-299) or (300, A01-Z99) or (400-999)"
478,"Hopi alone or in any combination (D74-D75) & (100-299) or (300, A01-Z99) or (400-999)"
479,"Luiseno alone or in any combination (E66-E77) & (100-299) or (300, A01-Z99) or (400-999)"
480,"Mexican American Indian alone or in any combination (V84-W66) & (100-299) or (300, A01-Z99) or (400-999)"
481,"Miami alone or in any combination (F17-F23) & (100-299) or (300, A01-Z99) or (400-999)"
482,"Micmac alone or in any combination (F27-F30) & (100-299) or (300, A01-Z99) or (400-999)"
483,"Oneida Tribe alone or in any combination (F99) & (100-299) or (300, A01-Z99) or (400-999)"
484,"Pomo alone or in any combination (G99-H14, H66-H69, H93-H98) & (100-299) or (300, A01-Z99) or (400-999)"
485,"Sac and Fox alone or in any combination (J19-J27) & (100-299) or (300, A01-Z99) or (400-999)"
486,"Salish and Kootenai alone or in any combination (J35-J37) & (100-299) or (300, A01-Z99) or (400-999)"
487,"Shawnee alone or in any combination (J66-J73) & (100-299) or (300, A01-Z99) or (400-999)"
488,"South American Indian alone or in any combination (W67-X24) & (100-299) or (300, A01-Z99) or (400-999)"
489,"Spanish American Indian alone or in any combination (X25-Z99) & (100-299) or (300, A01-Z99) or (400-999)"
490,"Three Affiliated Tribes of North Dakota alone or in any combination (D45-D48) & (100-299) or (300, A01-Z99) or (400-999)"
493,"Alaska Native tribes, specified, alone or in any combination (M52-R98, S01-S99) & (100-299) or (300, A01-Z99) or (400-999)"
494,"Inupiat alone or in any combination (N67-P29, P33-P37) & (100-299) or (300, A01-Z99) or (400-999)"
495,"Tsimshian alone or in any combination (N56-N58) & (100-299) or (300, A01-Z99) or (400-999)"
496,"Yup'ik alone or in any combination (P30-P32, P38-R10) & (100-299) or (300, A01-Z99) or (400-999)"
598,"Three or more races with Some Other Race"
599,"Three or more races without Some Other Race"
