"SEGMENT","POSITION","FIELD","PARENT_FIELD","TABLE","DESCRIPTION"
03,31,PCT0030026,PCT0030002,PCT003,"Total: Male: 23 years"
03,32,PCT0030027,PCT0030002,PCT003,"Total: Male: 24 years"
03,33,PCT0030028,PCT0030002,PCT003,"Total: Male: 25 years"
03,34,PCT0030029,PCT0030002,PCT003,"Total: Male: 26 years"
03,35,PCT0030030,PCT0030002,PCT003,"Total: Male: 27 years"
03,36,PCT0030031,PCT0030002,PCT003,"Total: Male: 28 years"
03,37,PCT0030032,PCT0030002,PCT003,"Total: Male: 29 years"
03,38,PCT0030033,PCT0030002,PCT003,"Total: Male: 30 years"
03,39,PCT0030034,PCT0030002,PCT003,"Total: Male: 31 years"
03,40,PCT0030035,PCT0030002,PCT003,"Total: Male: 32 years"
03,41,PCT0030036,PCT0030002,PCT003,"Total: Male: 33 years"
03,42,PCT0030037,PCT0030002,PCT003,"Total: Male: 34 years"
03,43,PCT0030038,PCT0030002,PCT003,"Total: Male: 35 years"
03,44,PCT0030039,PCT0030002,PCT003,"Total: Male: 36 years"
03,45,PCT0030040,PCT0030002,PCT003,"Total: Male: 37 years"
03,46,PCT0030041,PCT0030002,PCT003,"Total: Male: 38 years"
03,47,PCT0030042,PCT0030002,PCT003,"Total: Male: 39 years"
03,48,PCT0030043,PCT0030002,PCT003,"Total: Male: 40 years"
03,49,PCT0030044,PCT0030002,PCT003,"Total: Male: 41 years"
03,50,PCT0030045,PCT0030002,PCT003,"Total: Male: 42 years"
03,51,PCT0030046,PCT0030002,PCT003,"Total: Male: 43 years"
03,52,PCT0030047,PCT0030002,PCT003,"Total: Male: 44 years"
03,53,PCT0030048,PCT0030002,PCT003,"Total: Male: 45 years"
03,54,PCT0030049,PCT0030002,PCT003,"Total: Male: 46 years"
03,55,PCT0030050,PCT0030002,PCT003,"Total: Male: 47 years"
03,56,PCT0030051,PCT0030002,PCT003,"Total: Male: 48 years"
03,57,PCT0030052,PCT0030002,PCT003,"Total: Male: 49 years"
03,58,PCT0030053,PCT0030002,PCT003,"Total: Male: 50 years"
03,59,PCT0030054,PCT0030002,PCT003,"Total: Male: 51 years"
03,60,PCT0030055,PCT0030002,PCT003,"Total: Male: 52 years"
03,61,PCT0030056,PCT0030002,PCT003,"Total: Male: 53 years"
03,62,PCT0030057,PCT0030002,PCT003,"Total: Male: 54 years"
03,63,PCT0030058,PCT0030002,PCT003,"Total: Male: 55 years"
03,64,PCT0030059,PCT0030002,PCT003,"Total: Male: 56 years"
03,65,PCT0030060,PCT0030002,PCT003,"Total: Male: 57 years"
03,66,PCT0030061,PCT0030002,PCT003,"Total: Male: 58 years"
03,67,PCT0030062,PCT0030002,PCT003,"Total: Male: 59 years"
03,68,PCT0030063,PCT0030002,PCT003,"Total: Male: 60 years"
03,69,PCT0030064,PCT0030002,PCT003,"Total: Male: 61 years"
03,70,PCT0030065,PCT0030002,PCT003,"Total: Male: 62 years"
03,71,PCT0030066,PCT0030002,PCT003,"Total: Male: 63 years"
03,72,PCT0030067,PCT0030002,PCT003,"Total: Male: 64 years"
03,73,PCT0030068,PCT0030002,PCT003,"Total: Male: 65 years"
03,74,PCT0030069,PCT0030002,PCT003,"Total: Male: 66 years"
03,75,PCT0030070,PCT0030002,PCT003,"Total: Male: 67 years"
03,76,PCT0030071,PCT0030002,PCT003,"Total: Male: 68 years"
03,77,PCT0030072,PCT0030002,PCT003,"Total: Male: 69 years"
03,78,PCT0030073,PCT0030002,PCT003,"Total: Male: 70 years"
03,79,PCT0030074,PCT0030002,PCT003,"Total: Male: 71 years"
03,80,PCT0030075,PCT0030002,PCT003,"Total: Male: 72 years"
03,81,PCT0030076,PCT0030002,PCT003,"Total: Male: 73 years"
03,82,PCT0030077,PCT0030002,PCT003,"Total: Male: 74 years"
03,83,PCT0030078,PCT0030002,PCT003,"Total: Male: 75 years"
03,84,PCT0030079,PCT0030002,PCT003,"Total: Male: 76 years"
03,85,PCT0030080,PCT0030002,PCT003,"Total: Male: 77 years"
03,86,PCT0030081,PCT0030002,PCT003,"Total: Male: 78 years"
03,87,PCT0030082,PCT0030002,PCT003,"Total: Male: 79 years"
03,88,PCT0030083,PCT0030002,PCT003,"Total: Male: 80 years"
03,89,PCT0030084,PCT0030002,PCT003,"Total: Male: 81 years"
03,90,PCT0030085,PCT0030002,PCT003,"Total: Male: 82 years"
03,91,PCT0030086,PCT0030002,PCT003,"Total: Male: 83 years"
03,92,PCT0030087,PCT0030002,PCT003,"Total: Male: 84 years"
03,93,PCT0030088,PCT0030002,PCT003,"Total: Male: 85 years"
03,94,PCT0030089,PCT0030002,PCT003,"Total: Male: 86 years"
03,95,PCT0030090,PCT0030002,PCT003,"Total: Male: 87 years"
03,96,PCT0030091,PCT0030002,PCT003,"Total: Male: 88 years"
03,97,PCT0030092,PCT0030002,PCT003,"Total: Male: 89 years"
03,98,PCT0030093,PCT0030002,PCT003,"Total: Male: 90 years"
03,99,PCT0030094,PCT0030002,PCT003,"Total: Male: 91 years"
03,100,PCT0030095,PCT0030002,PCT003,"Total: Male: 92 years"
03,101,PCT0030096,PCT0030002,PCT003,"Total: Male: 93 years"
03,102,PCT0030097,PCT0030002,PCT003,"Total: Male: 94 years"
03,103,PCT0030098,PCT0030002,PCT003,"Total: Male: 95 years"
03,104,PCT0030099,PCT0030002,PCT003,"Total: Male: 96 years"
03,105,PCT0030100,PCT0030002,PCT003,"Total: Male: 97 years"
03,106,PCT0030101,PCT0030002,PCT003,"Total: Male: 98 years"
03,107,PCT0030102,PCT0030002,PCT003,"Total: Male: 99 years"
03,108,PCT0030103,PCT0030002,PCT003,"Total: Male: 100 to 104 years"
03,109,PCT0030104,PCT0030002,PCT003,"Total: Male: 105 to 109 years"
03,110,PCT0030105,PCT0030002,PCT003,"Total: Male: 110 years and over"
03,111,PCT0030106,PCT0030001,PCT003,"Total: Female"
03,112,PCT0030107,PCT0030106,PCT003,"Total: Female: Under 1 year"
03,113,PCT0030108,PCT0030106,PCT003,"Total: Female: 1 year"
03,114,PCT0030109,PCT0030106,PCT003,"Total: Female: 2 years"
03,115,PCT0030110,PCT0030106,PCT003,"Total: Female: 3 years"
03,116,PCT0030111,PCT0030106,PCT003,"Total: Female: 4 years"
03,117,PCT0030112,PCT0030106,PCT003,"Total: Female: 5 years"
03,118,PCT0030113,PCT0030106,PCT003,"Total: Female: 6 years"
03,119,PCT0030114,PCT0030106,PCT003,"Total: Female: 7 years"
03,120,PCT0030115,PCT0030106,PCT003,"Total: Female: 8 years"
03,121,PCT0030116,PCT0030106,PCT003,"Total: Female: 9 years"
03,122,PCT0030117,PCT0030106,PCT003,"Total: Female: 10 years"
03,123,PCT0030118,PCT0030106,PCT003,"Total: Female: 11 years"
03,124,PCT0030119,PCT0030106,PCT003,"Total: Female: 12 years"
03,125,PCT0030120,PCT0030106,PCT003,"Total: Female: 13 years"
03,126,PCT0030121,PCT0030106,PCT003,"Total: Female: 14 years"
03,127,PCT0030122,PCT0030106,PCT003,"Total: Female: 15 years"
03,128,PCT0030123,PCT0030106,PCT003,"Total: Female: 16 years"
03,129,PCT0030124,PCT0030106,PCT003,"Total: Female: 17 years"
03,130,PCT0030125,PCT0030106,PCT003,"Total: Female: 18 years"
03,131,PCT0030126,PCT0030106,PCT003,"Total: Female: 19 years"
03,132,PCT0030127,PCT0030106,PCT003,"Total: Female: 20 years"
03,133,PCT0030128,PCT0030106,PCT003,"Total: Female: 21 years"
03,134,PCT0030129,PCT0030106,PCT003,"Total: Female: 22 years"
03,135,PCT0030130,PCT0030106,PCT003,"Total: Female: 23 years"
03,136,PCT0030131,PCT0030106,PCT003,"Total: Female: 24 years"
03,137,PCT0030132,PCT0030106,PCT003,"Total: Female: 25 years"
03,138,PCT0030133,PCT0030106,PCT003,"Total: Female: 26 years"
03,139,PCT0030134,PCT0030106,PCT003,"Total: Female: 27 years"
03,140,PCT0030135,PCT0030106,PCT003,"Total: Female: 28 years"
03,141,PCT0030136,PCT0030106,PCT003,"Total: Female: 29 years"
03,142,PCT0030137,PCT0030106,PCT003,"Total: Female: 30 years"
03,143,PCT0030138,PCT0030106,PCT003,"Total: Female: 31 years"
03,144,PCT0030139,PCT0030106,PCT003,"Total: Female: 32 years"
03,145,PCT0030140,PCT0030106,PCT003,"Total: Female: 33 years"
03,146,PCT0030141,PCT0030106,PCT003,"Total: Female: 34 years"
03,147,PCT0030142,PCT0030106,PCT003,"Total: Female: 35 years"
03,148,PCT0030143,PCT0030106,PCT003,"Total: Female: 36 years"
03,149,PCT0030144,PCT0030106,PCT003,"Total: Female: 37 years"
03,150,PCT0030145,PCT0030106,PCT003,"Total: Female: 38 years"
03,151,PCT0030146,PCT0030106,PCT003,"Total: Female: 39 years"
03,152,PCT0030147,PCT0030106,PCT003,"Total: Female: 40 years"
03,153,PCT0030148,PCT0030106,PCT003,"Total: Female: 41 years"
03,154,PCT0030149,PCT0030106,PCT003,"Total: Female: 42 years"
03,155,PCT0030150,PCT0030106,PCT003,"Total: Female: 43 years"
03,156,PCT0030151,PCT0030106,PCT003,"Total: Female: 44 years"
03,157,PCT0030152,PCT0030106,PCT003,"Total: Female: 45 years"
03,158,PCT0030153,PCT0030106,PCT003,"Total: Female: 46 years"
03,159,PCT0030154,PCT0030106,PCT003,"Total: Female: 47 years"
03,160,PCT0030155,PCT0030106,PCT003,"Total: Female: 48 years"
03,161,PCT0030156,PCT0030106,PCT003,"Total: Female: 49 years"
03,162,PCT0030157,PCT0030106,PCT003,"Total: Female: 50 years"
03,163,PCT0030158,PCT0030106,PCT003,"Total: Female: 51 years"
03,164,PCT0030159,PCT0030106,PCT003,"Total: Female: 52 years"
03,165,PCT0030160,PCT0030106,PCT003,"Total: Female: 53 years"
03,166,PCT0030161,PCT0030106,PCT003,"Total: Female: 54 years"
03,167,PCT0030162,PCT0030106,PCT003,"Total: Female: 55 years"
03,168,PCT0030163,PCT0030106,PCT003,"Total: Female: 56 years"
03,169,PCT0030164,PCT0030106,PCT003,"Total: Female: 57 years"
03,170,PCT0030165,PCT0030106,PCT003,"Total: Female: 58 years"
03,171,PCT0030166,PCT0030106,PCT003,"Total: Female: 59 years"
03,172,PCT0030167,PCT0030106,PCT003,"Total: Female: 60 years"
03,173,PCT0030168,PCT0030106,PCT003,"Total: Female: 61 years"
03,174,PCT0030169,PCT0030106,PCT003,"Total: Female: 62 years"
03,175,PCT0030170,PCT0030106,PCT003,"Total: Female: 63 years"
03,176,PCT0030171,PCT0030106,PCT003,"Total: Female: 64 years"
03,177,PCT0030172,PCT0030106,PCT003,"Total: Female: 65 years"
03,178,PCT0030173,PCT0030106,PCT003,"Total: Female: 66 years"
03,179,PCT0030174,PCT0030106,PCT003,"Total: Female: 67 years"
03,180,PCT0030175,PCT0030106,PCT003,"Total: Female: 68 years"
03,181,PCT0030176,PCT0030106,PCT003,"Total: Female: 69 years"
03,182,PCT0030177,PCT0030106,PCT003,"Total: Female: 70 years"
03,183,PCT0030178,PCT0030106,PCT003,"Total: Female: 71 years"
03,184,PCT0030179,PCT0030106,PCT003,"Total: Female: 72 years"
03,185,PCT0030180,PCT0030106,PCT003,"Total: Female: 73 years"
03,186,PCT0030181,PCT0030106,PCT003,"Total: Female: 74 years"
03,187,PCT0030182,PCT0030106,PCT003,"Total: Female: 75 years"
03,188,PCT0030183,PCT0030106,PCT003,"Total: Female: 76 years"
03,189,PCT0030184,PCT0030106,PCT003,"Total: Female: 77 years"
03,190,PCT0030185,PCT0030106,PCT003,"Total: Female: 78 years"
03,191,PCT0030186,PCT0030106,PCT003,"Total: Female: 79 years"
03,192,PCT0030187,PCT0030106,PCT003,"Total: Female: 80 years"
03,193,PCT0030188,PCT0030106,PCT003,"Total: Female: 81 years"
03,194,PCT0030189,PCT0030106,PCT003,"Total: Female: 82 years"
03,195,PCT0030190,PCT0030106,PCT003,"Total: Female: 83 years"
03,196,PCT0030191,PCT0030106,PCT003,"Total: Female: 84 years"
03,197,PCT0030192,PCT0030106,PCT003,"Total: Female: 85 years"
03,198,PCT0030193,PCT0030106,PCT003,"Total: Female: 86 years"
03,199,PCT0030194,PCT0030106,PCT003,"Total: Female: 87 years"
03,200,PCT0030195,PCT0030106,PCT003,"Total: Female: 88 years"
03,201,PCT0030196,PCT0030106,PCT003,"Total: Female: 89 years"
03,202,PCT0030197,PCT0030106,PCT003,"Total: Female: 90 years"
03,203,PCT0030198,PCT0030106,PCT003,"Total: Female: 91 years"
03,204,PCT0030199,PCT0030106,PCT003,"Total: Female: 92 years"
03,205,PCT0030200,PCT0030106,PCT003,"Total: Female: 93 years"
03,206,PCT0030201,PCT0030106,PCT003,"Total: Female: 94 years"
03,207,PCT0030202,PCT0030106,PCT003,"Total: Female: 95 years"
03,208,PCT0030203,PCT0030106,PCT003,"Total: Female: 96 years"
03,209,PCT0030204,PCT0030106,PCT003,"Total: Female: 97 years"
03,210,PCT0030205,PCT0030106,PCT003,"Total: Female: 98 years"
03,211,PCT0030206,PCT0030106,PCT003,"Total: Female: 99 years"
03,212,PCT0030207,PCT0030106,PCT003,"Total: Female: 100 to 104 years"
03,213,PCT0030208,PCT0030106,PCT003,"Total: Female: 105 to 109 years"
03,214,PCT0030209,PCT0030106,PCT003,"Total: Female: 110 years and over"
03,215,PCT0040001,PCT0030001,PCT004,"Total: Both sexes"
03,216,PCT0040002,PCT0030001,PCT004,"Total: Male"
03,217,PCT0040003,PCT0030001,PCT004,"Total: Female"
04,1,FILEID,NA,HEAD,"File Identification"
04,2,STUSAB,NA,HEAD,"State/US-Abbreviation (USPS)"
04,3,CHARITER,NA,HEAD,"Characteristic iteration"
04,4,CIFSN,NA,HEAD,"Characteristic Iteration File Sequence Number"
04,5,LOGRECNO,NA,HEAD,"Logical Record Number"
04,6,PCT0050001,NA,PCT005,"Total"
04,7,PCT0050002,PCT0050001,PCT005,"Total: Male"
04,8,PCT0050003,PCT0050002,PCT005,"Total: Male: Under 5 years"
04,9,PCT0050004,PCT0050002,PCT005,"Total: Male: 5 to 9 years"
04,10,PCT0050005,PCT0050002,PCT005,"Total: Male: 10 to 14 years"
04,11,PCT0050006,PCT0050002,PCT005,"Total: Male: 15 to 17 years"
04,12,PCT0050007,PCT0050002,PCT005,"Total: Male: 18 and 19 years"
04,13,PCT0050008,PCT0050002,PCT005,"Total: Male: 20 years"
04,14,PCT0050009,PCT0050002,PCT005,"Total: Male: 21 years"
04,15,PCT0050010,PCT0050002,PCT005,"Total: Male: 22 to 24 years"
04,16,PCT0050011,PCT0050002,PCT005,"Total: Male: 25 to 29 years"
04,17,PCT0050012,PCT0050002,PCT005,"Total: Male: 30 to 34 years"
04,18,PCT0050013,PCT0050002,PCT005,"Total: Male: 35 to 39 years"
04,19,PCT0050014,PCT0050002,PCT005,"Total: Male: 40 to 44 years"
04,20,PCT0050015,PCT0050002,PCT005,"Total: Male: 45 to 49 years"
04,21,PCT0050016,PCT0050002,PCT005,"Total: Male: 50 to 54 years"
04,22,PCT0050017,PCT0050002,PCT005,"Total: Male: 55 to 59 years"
04,23,PCT0050018,PCT0050002,PCT005,"Total: Male: 60 and 61 years"
04,24,PCT0050019,PCT0050002,PCT005,"Total: Male: 62 to 64 years"
04,25,PCT0050020,PCT0050002,PCT005,"Total: Male: 65 and 66 years"
04,26,PCT0050021,PCT0050002,PCT005,"Total: Male: 67 to 69 years"
04,27,PCT0050022,PCT0050002,PCT005,"Total: Male: 70 to 74 years"
04,28,PCT0050023,PCT0050002,PCT005,"Total: Male: 75 to 79 years"
04,29,PCT0050024,PCT0050002,PCT005,"Total: Male: 80 to 84 years"
04,30,PCT0050025,PCT0050002,PCT005,"Total: Male: 85 years and over"
04,31,PCT0050026,PCT0050001,PCT005,"Total: Female"
04,32,PCT0050027,PCT0050026,PCT005,"Total: Female: Under 5 years"
04,33,PCT0050028,PCT0050026,PCT005,"Total: Female: 5 to 9 years"
04,34,PCT0050029,PCT0050026,PCT005,"Total: Female: 10 to 14 years"
04,35,PCT0050030,PCT0050026,PCT005,"Total: Female: 15 to 17 years"
04,36,PCT0050031,PCT0050026,PCT005,"Total: Female: 18 and 19 years"
04,37,PCT0050032,PCT0050026,PCT005,"Total: Female: 20 years"
04,38,PCT0050033,PCT0050026,PCT005,"Total: Female: 21 years"
04,39,PCT0050034,PCT0050026,PCT005,"Total: Female: 22 to 24 years"
04,40,PCT0050035,PCT0050026,PCT005,"Total: Female: 25 to 29 years"
04,41,PCT0050036,PCT0050026,PCT005,"Total: Female: 30 to 34 years"
04,42,PCT0050037,PCT0050026,PCT005,"Total: Female: 35 to 39 years"
04,43,PCT0050038,PCT0050026,PCT005,"Total: Female: 40 to 44 years"
04,44,PCT0050039,PCT0050026,PCT005,"Total: Female: 45 to 49 years"
04,45,PCT0050040,PCT0050026,PCT005,"Total: Female: 50 to 54 years"
04,46,PCT0050041,PCT0050026,PCT005,"Total: Female: 55 to 59 years"
04,47,PCT0050042,PCT0050026,PCT005,"Total: Female: 60 and 61 years"
04,48,PCT0050043,PCT0050026,PCT005,"Total: Female: 62 to 64 years"
04,49,PCT0050044,PCT0050026,PCT005,"Total: Female: 65 and 66 years"
04,50,PCT0050045,PCT0050026,PCT005,"Total: Female: 67 to 69 years"
04,51,PCT0050046,PCT0050026,PCT005,"Total: Female: 70 to 74 years"
04,52,PCT0050047,PCT0050026,PCT005,"Total: Female: 75 to 79 years"
04,53,PCT0050048,PCT0050026,PCT005,"Total: Female: 80 to 84 years"
04,54,PCT0050049,PCT0050026,PCT005,"Total: Female: 85 years and over"
04,55,PCT0060001,NA,PCT006,"Total"
04,56,PCT0060002,PCT0060001,PCT006,"Total: Under 18 years"
04,57,PCT0060003,PCT0060001,PCT006,"Total: 18 years and over"
04,58,PCT0070001,PCT0060001,PCT007,"Total: Total"
04,59,PCT0070002,PCT0070001,PCT007,"Total: Total: Under 18 years"
04,60,PCT0070003,PCT0070001,PCT007,"Total: Total: 18 years and over"
04,61,PCT0080001,NA,PCT008,"Total"
04,62,PCT0080002,PCT0080001,PCT008,"Total: Family households"
04,63,PCT0080003,PCT0080002,PCT008,"Total: Family households: Husband-wife family"
04,64,PCT0080004,PCT0080002,PCT008,"Total: Family households: Other family"
04,65,PCT0080005,PCT0080004,PCT008,"Total: Family households: Other family: Male householder, no wife present"
04,66,PCT0080006,PCT0080004,PCT008,"Total: Family households: Other family: Female householder, no husband present"
04,67,PCT0080007,PCT0080001,PCT008,"Total: Nonfamily households"
04,68,PCT0080008,PCT0080007,PCT008,"Total: Nonfamily households: Householder living alone"
04,69,PCT0080009,PCT0080007,PCT008,"Total: Nonfamily households: Householder not living alone"
04,70,PCT0090001,NA,PCT009,"Total"
04,71,PCT0090002,PCT0090001,PCT009,"Total: 1-person household"
04,72,PCT0090003,PCT0090002,PCT009,"Total: 1-person household: Male householder"
04,73,PCT0090004,PCT0090002,PCT009,"Total: 1-person household: Female householder"
04,74,PCT0090005,PCT0090001,PCT009,"Total: 2-or-more-person household"
04,75,PCT0090006,PCT0090005,PCT009,"Total: 2-or-more-person household: Family households"
04,76,PCT0090007,PCT0090006,PCT009,"Total: 2-or-more-person household: Family households: Husband-wife family"
04,77,PCT0090008,PCT0090007,PCT009,"Total: 2-or-more-person household: Family households: Husband-wife family: With own children under 18 years"
04,78,PCT0090009,PCT0090007,PCT009,"Total: 2-or-more-person household: Family households: Husband-wife family: No own children under 18 years"
04,79,PCT0090010,PCT0090006,PCT009,"Total: 2-or-more-person household: Family households: Other family"
04,80,PCT0090011,PCT0090010,PCT009,"Total: 2-or-more-person household: Family households: Other family: Male householder, no wife present"
04,81,PCT0090012,PCT0090011,PCT009,"Total: 2-or-more-person household: Family households: Other family: Male householder, no wife present: With own children under 18 years"
04,82,PCT0090013,PCT0090011,PCT009,"Total: 2-or-more-person household: Family households: Other family: Male householder, no wife present: No own children under 18 years"
04,83,PCT0090014,PCT0090010,PCT009,"Total: 2-or-more-person household: Family households: Other family: Female householder, no husband present"
04,84,PCT0090015,PCT0090014,PCT009,"Total: 2-or-more-person household: Family households: Other family: Female householder, no husband present: With own children under 18 years"
04,85,PCT0090016,PCT0090014,PCT009,"Total: 2-or-more-person household: Family households: Other family: Female householder, no husband present: No own children under 18 years"
04,86,PCT0090017,PCT0090005,PCT009,"Total: 2-or-more-person household: Nonfamily households"
04,87,PCT0090018,PCT0090017,PCT009,"Total: 2-or-more-person household: Nonfamily households: Male householder"
04,88,PCT0090019,PCT0090017,PCT009,"Total: 2-or-more-person household: Nonfamily households: Female householder"
04,89,PCT0100001,NA,PCT010,"Total"
04,90,PCT0100002,PCT0100001,PCT010,"Total: Households with one or more people under 18 years"
04,91,PCT0100003,PCT0100002,PCT010,"Total: Households with one or more people under 18 years: Family households"
04,92,PCT0100004,PCT0100003,PCT010,"Total: Households with one or more people under 18 years: Family households: Husband-wife family"
04,93,PCT0100005,PCT0100004,PCT010,"Total: Households with one or more people under 18 years: Family households: Husband-wife family: Under 6 years only"
04,94,PCT0100006,PCT0100004,PCT010,"Total: Households with one or more people under 18 years: Family households: Husband-wife family: Under 6 years and 6 to 17 years"
04,95,PCT0100007,PCT0100004,PCT010,"Total: Households with one or more people under 18 years: Family households: Husband-wife family: 6 to 17 years only"
04,96,PCT0100008,PCT0100003,PCT010,"Total: Households with one or more people under 18 years: Family households: Other family"
04,97,PCT0100009,PCT0100008,PCT010,"Total: Households with one or more people under 18 years: Family households: Other family: Male householder, no wife present"
04,98,PCT0100010,PCT0100009,PCT010,"Total: Households with one or more people under 18 years: Family households: Other family: Male householder, no wife present: Under 6 years only"
04,99,PCT0100011,PCT0100009,PCT010,"Total: Households with one or more people under 18 years: Family households: Other family: Male householder, no wife present: Under 6 years and 6 to 17 years"
04,100,PCT0100012,PCT0100009,PCT010,"Total: Households with one or more people under 18 years: Family households: Other family: Male householder, no wife present: 6 to 17 years only"
04,101,PCT0100013,PCT0100008,PCT010,"Total: Households with one or more people under 18 years: Family households: Other family: Female householder, no husband present"
04,102,PCT0100014,PCT0100013,PCT010,"Total: Households with one or more people under 18 years: Family households: Other family: Female householder, no husband present: Under 6 years only"
04,103,PCT0100015,PCT0100013,PCT010,"Total: Households with one or more people under 18 years: Family households: Other family: Female householder, no husband present: Under 6 years and 6 to 17 years"
04,104,PCT0100016,PCT0100013,PCT010,"Total: Households with one or more people under 18 years: Family households: Other family: Female householder, no husband present: 6 to 17 years only"
04,105,PCT0100017,PCT0100002,PCT010,"Total: Households with one or more people under 18 years: Nonfamily households"
04,106,PCT0100018,PCT0100017,PCT010,"Total: Households with one or more people under 18 years: Nonfamily households: Male householder"
04,107,PCT0100019,PCT0100018,PCT010,"Total: Households with one or more people under 18 years: Nonfamily households: Male householder: Under 6 years only"
04,108,PCT0100020,PCT0100018,PCT010,"Total: Households with one or more people under 18 years: Nonfamily households: Male householder: Under 6 years and 6 to 17 years"
04,109,PCT0100021,PCT0100018,PCT010,"Total: Households with one or more people under 18 years: Nonfamily households: Male householder: 6 to 17 years only"
04,110,PCT0100022,PCT0100017,PCT010,"Total: Households with one or more people under 18 years: Nonfamily households: Female householder"
04,111,PCT0100023,PCT0100022,PCT010,"Total: Households with one or more people under 18 years: Nonfamily households: Female householder: Under 6 years only"
04,112,PCT0100024,PCT0100022,PCT010,"Total: Households with one or more people under 18 years: Nonfamily households: Female householder: Under 6 years and 6 to 17 years"
04,113,PCT0100025,PCT0100022,PCT010,"Total: Households with one or more people under 18 years: Nonfamily households: Female householder: 6 to 17 years only"
04,114,PCT0100026,PCT0100001,PCT010,"Total: Households with no people under 18 years"
04,115,PCT0100027,PCT0100026,PCT010,"Total: Households with no people under 18 years: Family households"
04,116,PCT0100028,PCT0100027,PCT010,"Total: Households with no people under 18 years: Family households: Husband-wife family"
04,117,PCT0100029,PCT0100027,PCT010,"Total: Households with no people under 18 years: Family households: Other family"
04,118,PCT0100030,PCT0100029,PCT010,"Total: Households with no people under 18 years: Family households: Other family: Male householder, no wife present"
04,119,PCT0100031,PCT0100029,PCT010,"Total: Households with no people under 18 years: Family households: Other family: Female householder, no husband present"
04,120,PCT0100032,PCT0100026,PCT010,"Total: Households with no people under 18 years: Nonfamily households"
04,121,PCT0100033,PCT0100032,PCT010,"Total: Households with no people under 18 years: Nonfamily households: Male householder"
04,122,PCT0100034,PCT0100032,PCT010,"Total: Households with no people under 18 years: Nonfamily households: Female householder"
04,123,PCT0110001,NA,PCT011,"Total"
04,124,PCT0110002,PCT0110001,PCT011,"Total: Householder 15 to 64 years"
